"","iso3c","species_name","prod_method","quantity","distance","ef","emissions_nautical_mile","transport_emissions","rep"
"197","THA","Penaeus Shrimps Nei","Farmed",588.34011,3756,11.5282648476306,50950445.0515338,27513.2403278283,8
"198","THA","Penaeus Shrimps Nei","Wild",21482.62901,3756,11.5282648476306,1860402665.62226,1004617.43943602,8
"199","THA","Western King Prawn","Wild",54.08972,3756,11.5282648476306,4684187.36011871,2529.4611744641,8
"200","VNM","Giant Tiger Prawn","Farmed",209.23717,3723,11.5282648476306,17960805.696332,9698.83507601929,8
"201","BGD","Penaeus Shrimps Nei","Farmed",44.18974,5682,25.213198008528,12661367.2481209,6837.13831398526,9
"202","CHN","Giant Tiger Prawn","Farmed",290.01403,4358,25.213198008528,63732971.0222965,34415.8043520401,9
"203","CHN","Penaeus Shrimps Nei","Farmed",13502.64154,4358,25.213198008528,2967316657.03648,1602350.9947997,9
"204","CHN","Penaeus Shrimps Nei","Wild",103.76635,4358,25.213198008528,22803509.808265,12313.8952964631,9
"205","ESP","Penaeus Shrimps Nei","Wild",37.94989,15555,25.213198008528,29767233.0101344,16074.3058254726,9
"206","IDN","Banana Prawn","Wild",3115.6875,1280,25.213198008528,201104501.427701,108596.430770958,9
"207","IDN","Giant Tiger Prawn","Farmed",60.27608,1280,25.213198008528,3890567.01495776,2100.90618807719,9
"208","IDN","Giant Tiger Prawn","Wild",1983.48659,1280,25.213198008528,128025702.760781,69133.8794908216,9
"209","IND","Giant Tiger Prawn","Wild",448.50117,5419,25.213198008528,122557716.762316,66181.1670516507,9
"210","IND","Penaeus Shrimps Nei","Farmed",45.66118,5419,25.213198008528,12477403.2707052,6737.79776618083,9
"211","IND","Penaeus Shrimps Nei","Wild",661.06413,5419,25.213198008528,180642807.255702,97547.1159180791,9
"212","JPY","Kuruma Prawn","Farmed",86.42838,4915,25.213198008528,21420905.4890186,11567.2889640701,9
"213","MYS","Giant Tiger Prawn","Farmed",537.40804,2565,25.213198008528,69510347.411581,37535.5876022537,9
"214","PHL","Penaeus Shrimps Nei","Wild",13.68686,2196,25.213198008528,1515633.13360765,818.441892148129,9
"215","PNG","Banana Prawn","Wild",19.83527,856,25.213198008528,856189.330187197,462.342238301086,9
